Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,141,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.elapsedTimeDataGridViewTextBoxColumn.Name = ""elapsedTimeDataGridViewTextBoxColumn"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,141,12,P:System.Windows.Forms.DataGridViewColumn.Name,,,,,"this.elapsedTimeDataGridViewTextBoxColumn.Name = ""elapsedTimeDataGridViewTextBoxColumn"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,140,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.elapsedTimeDataGridViewTextBoxColumn.MinimumWidth = 6;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,140,12,P:System.Windows.Forms.DataGridViewColumn.MinimumWidth,,,,,this.elapsedTimeDataGridViewTextBoxColumn.MinimumWidth = 6;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,139,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.elapsedTimeDataGridViewTextBoxColumn.HeaderText = ""ElapsedTime"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,139,12,P:System.Windows.Forms.DataGridViewColumn.HeaderText,,,,,"this.elapsedTimeDataGridViewTextBoxColumn.HeaderText = ""ElapsedTime"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,138,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.elapsedTimeDataGridViewTextBoxColumn.DataPropertyName = ""ElapsedTime"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,138,12,P:System.Windows.Forms.DataGridViewColumn.DataPropertyName,,,,,"this.elapsedTimeDataGridViewTextBoxColumn.DataPropertyName = ""ElapsedTime"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,134,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.timeEndedDataGridViewTextBoxColumn.Width = 125;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,134,12,P:System.Windows.Forms.DataGridViewColumn.Width,,,,,this.timeEndedDataGridViewTextBoxColumn.Width = 125;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,133,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,this.timeEndedDataGridViewTextBoxColumn.ReadOnly = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,133,12,P:System.Windows.Forms.DataGridViewColumn.ReadOnly,,,,,this.timeEndedDataGridViewTextBoxColumn.ReadOnly = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Timeclock.csproj,File,ViewTimeEntries.Designer.cs,132,12,T:System.Windows.Forms.DataGridViewTextBoxColumn,,,,,"this.timeEndedDataGridViewTextBoxColumn.Name = ""timeEndedDataGridViewTextBoxColumn"";"
